Logradouro,Endereco,Numero,Complemento,Bairro,Cidade,Estado,Pais,Cep,Latitude,Longitude
RUA,TEODORO SAMPAIO 2799 2809 T,543,,,SAO PAULO,,,05405-250,-23.56562,-46.691701
R,DR NELSON DE SA EARP 88 LJ 18/19,544,,,PETROPOLIS,,,25680-195,-22.511591,-43.180211
AVENIDA,PEIXOTO GOMIDE 44,547,,,ITAPETININGA,,,18200-160,-23.58858017,-48.04767609
AVENIDA,NOVE DE JULHO 564,548,,,POA,,,08550-100,-23.520722,-46.343118
RUA,FRANCISCO GLICERIO 1510,551,,,CAMPINAS,,,13012-000,-22.901667,-47.061345
RUA,DA MOOCA 2413 2417/2421,552,,,SAO PAULO,,,03103-003,-23.555369,-46.601629
AVENIDA,DAS AMERICAS 13651 LJS A/B/C,553,,,RIO DE JANEIRO,,,22790-701,-23.010067,-43.449117
AVENIDA,BRASIL 1290,555,,,FERRAZ DE VASCONCELOS,,,08500-020,-23.540559,-46.366541
AVENIDA,PRESIDENTE COSTA E SILVA 527 QD T,557,,,PRAIA GRANDE,,,11701-000,-24.008757,-46.413865
PRACA,CONDE FRONTIN 28  TER / SLJ,558,,,JACAREI,,,12327-330,-23.305737,-45.96707
RUA,RAUL POMPEIA 94 TER/SOB.LJ,560,,,RIO DE JANEIRO,,,22080-002,-22.984694,-43.191473
AVENIDA,CORONEL FERNANDO PRESTES 214 PAV 1,561,,,PINDAMONHANGABA,,,12400-240,-22.925551,-45.460804
PRACA,CONS RODRIGUES ALVES 254,563,,,GUARATINGUETA,,,12500-020,-22.814081,-45.193912
AV,MONTEIRO LOBATO 47 51 E 55,564,,,GUARULHOS,,,07112-000,-23.469633,-46.525717
RUA,GONCALVES CRESPO 78 105/106/10,566,,,SAO PAULO,,,03066-030,-23.541888,-46.575158
AV,TRINTA E UM DE MARCO 747,569,,,VOTORANTIM,,,18110-005,-23.542234,-47.44773
RUA,FELIPE CARDOSO 540 LJS 09/10,570,,,RIO DE JANEIRO,,,23510-001,-22.920556,-43.680995
AV,JUVENAL ALVIM 131 C,572,,,ATIBAIA,,,12940-060,-23.116374,-46.558353
RUA,GENERAL OSORIO 753,574,,,SAO CARLOS,,,13560-640,-22.022271,-47.882297
PRACA,CARLOS LIRA 54 58,1001,,,TIMBAUBA,,,55870-000,-7.51338,-35.31668
QNM,34 AREA ESPECIAL 01 PISO L1 0 LOJA 113,1003,,,BRASILIA,,,72145-450,-15.811207,-48.092857
AVENIDA,BEBERIBE 4645 CASA C,1004,,,RECIFE,,,52130-325,-8.037063,-34.891225
AVENIDA,ABILIO MACHADO 1664,1006,,,BELO HORIZONTE,,,30820-622,-19.90332,-44.0035
AVENIDA,SAO SEBASTIAO 3429 LOJA 73,1007,,,PARNAIBA,,,64204-035,-2.910768,-41.733102
AVENIDA,HERMES FONTES 673 A,1008,,,ARACAJU,,,49015-350,-10.924445,-37.057264
AVENIDA,LIBERDADE 0 TERRENO 3,1009,,,BAYEUX,,,58306-000,-7.124639,-34.923752
AVENIDA,PEDRO I 7181 LOJA 21,1010,,,TAUBATE,,,12091-000,-23.0318,-45.54889
AVENIDA,DOM SEVERINO 1599 TERREO,1011,,,TERESINA,,,64049-370,-5.070143,-42.782324
RUA,RIBEIRO DE ALMEIDA 80,1012,,,MARICA,,,24900-885,-22.918665,-42.817696
RUA,SAO JOAO CLIMACO 685 687,1013,,,SAO PAULO,,,04255-000,-23.62334,-46.59066
RUA,FRANCISCO FRANCO DE GODOY BUENO 801 GLEBAS A6,1014,,,MOGI GUACU,,,13844-210,-22.3674,-46.94858
RODOVIA,DO SOL 5000 LOJA 1058,1015,,,VILA VELHA,,,29103-900,-20.393915,-40.317798
RODOVIA,JUSCELINO KUBITSCHEK 100 LJ ANC 140,1017,,,MACAPA,,,68903-196,-0.04313,-51.105955
AVENIDA,PREFEITO JACQUES NUNES 266 C,1019,,,TIANGUA,,,62320-000,-3.727258,-40.991673
RUA,LAURINDO ADAMO 40,1020,,,SAO BERNARDO DO CAMPO,,,09624-120,-23.65442,-46.57193
PRACA,DOUTOR JOSE GONCALVES 260,1022,,,SENHOR DO BONFIM,,,48970-000,-10.460572,-40.19867
QUA,15 0 FOLHA 30,1023,,,MARABA,,,68507-445,-5.353324,-49.079764
AVENIDA,GUARARAPES 2040,1026,,,PETROLINA,,,56302-000,-9.399624,-40.496498
RODOVIA,BR 381 FERNAO DIAS 0 KM 492 601,1028,,,BETIM,,,32655-505,-19.962055,-44.162595
AVENIDA,ALEXANDRE DE GUSMAO 212 LUC 329,1029,,,SANTO ANDRE,,,09111-310,-23.662941,-46.507169
AVENIDA,LAURO DE FREITAS 336,1031,,,VITORIA DA CONQUISTA,,,45000-230,-14.855516,-40.841357
AVENIDA,ANTONIO MAIA 1374,1035,,,MARABA,,,68500-005,-5.349681,-49.133899
AVENIDA,GETULIO VARGAS 440,1037,,,IMPERATRIZ,,,65901-450,-5.531821,-47.485596
RUA,DO COMERCIO 291,1039,,,SANTA INES,,,65300-000,-3.666906,-45.382444
RODOVIA,DEPUTADO LAERCIO CORTE (SP 147) 4500 EUC A04,1040,,,LIMEIRA,,,13482-890,-22.565517,-47.43292
RUA,SILVEIRA MARTINS 208 LOJA 03,1042,,,SALVADOR,,,41150-000,-12.964768,-38.443104
AVENIDA,LUIZ EDUARDO TOLEDO PRADO 900 LOJA 2071,1051,,,RIBEIRAO PRETO,,,14027-250,-21.225209,-47.833722
AVENIDA,SEVERINO BALLESTEROS RODRIGUES 850 LOJA 2047,1053,,,CONTAGEM,,,32110-005,-19.8746168,-44.0270864
RUA,AMANDO DE BARROS 834,1056,,,BOTUCATU,,,18600-050,-22.888462,-48.44076
RUA,ATANAZIO SOARES 3380 1018/1019,1059,,,SOROCABA,,,18074-385,-23.455835,-47.482493
AVENIDA,QUINZE DE NOVEMBRO 89 1015,1060,,,ITAPECERICA DA SERRA,,,06850-100,-23.714364,-46.850436
AVENIDA,CORONEL FERNANDO FERREIRA LEITE 1540,1061,,,RIBEIRAO PRETO,,,14026-020,-21.21281,-47.814325
AVENIDA,MARECHAL FONTENELLE 3545 LOJA 160,1062,,,RIO DE JANEIRO,,,21740-001,-22.885882,-43.402525
RUA,ARY PAES BARRETO 1577,1065,,,VARZEA GRANDE,,,78118-090,-15.644297,-56.105486
RUA,CAPITAO SALOMAO 150,1066,,,ESTANCIA,,,49200-000,-11.271357,-37.438448
RUA,VISCONDE DE PORTO SEGURO 137 SETOR CENT,1067,,,FORMOSA,,,73801-010,-15.545593,-47.337597
AVENIDA,DOUTOR LUIZ MAGALHAES 955,1071,,,ITABAIANA,,,49500-000,-10.698742,-37.42854
AVE,ELDES SCHERRER SOUZA 2162 SUC 203 H/,1072,,,SERRA,,,29167-080,-20.193522,-40.268374
AVN,4 PAA 10292/PAL 38883 0 LT 1 QD 4,1073,,,RIO DE JANEIRO,,,22750-000,-22.972816,-43.375838
AVENIDA,SAQUAREMA 5345,1074,,,SAQUAREMA,,,28993-000,-22.894847,-42.470603
RUA,SALVINO PASCOAL PATROCINIO 21,1075,,,ITABIRA,,,35900-243,-19.626702,-43.226784
AVENIDA,COMENDADOR GUSTAVO PAIVA 5945 LOJAS 1004,1076,,,MACEIO,,,57038-000,-9.626698,-35.697371
AVENIDA,MONSENHOR ANGELO SAMPAIO 100 LUC 106,1077,,,PETROLINA,,,56304-920,-9.395771,-40.49064
AVENIDA,DEDE BRASIL 4820 LOJA C,1078,,,FORTALEZA,,,60714-242,-3.795548,-38.532586
QI,01 LOTE 220 SETOR LESTE INDUSTRIAL 0,1080,,,BRASILIA,,,72445-010,-15.805514,-48.073522
RUA,DOUTOR OSCAR GUIMARAES 41,1081,,,TRES LAGOAS,,,79600-021,-20.789666,-51.711282
AVENIDA,JULIO DE CASTILHO 1458,1083,,,CAMPO GRANDE,,,79112-000,-20.455624,-54.64289
RUA,15 C 0 QD 102,1085,,,APARECIDA DE GOIANIA,,,74930-280,-16.768341,-49.343103
AV,107 NORTE AVENIDA JUSCELINO KUBITSCHEK 0 LUC 04,1087,,,PALMAS,,,77001-080,-10.169664,-48.333967
AVE,COSME FERREIRA 4605 LOJA 17A,1088,,,MANAUS,,,69085-015,-3.075831,-59.9569
RUA,SAO MIGUEL 82,1097,,,RECIFE,,,50770-720,-8.080153,-34.907339
AVENIDA,HORACIO KLABIN 6 QD 12,1102,,,TELEMACO BORBA,,,84261-000,-24.3244,-50.621672
AVENIDA,KENNEDY 700 ESP CM 133,1104,,,SAO BERNARDO DO CAMPO,,,09726-901,-23.683033,-46.55786
RUA,SAO BENEDITO 53,322,,,CARAGUATATUBA,,,11660-100,-23.620487,-45.412744
ESTRADA,DO GABINAL 313 GAL B LOJA,1108,,,RIO DE JANEIRO,,,22760-151,-22.942346,-43.345198
AVENIDA,JOAO PESSOA 279 AV SAO MAR,1111,,,SAO LUIS,,,65040-000,-2.543851,-44.272966
AVENIDA,CAIOABA 316,1128,,,MAGE,,,25931-742,-22.614736,-43.179861
CNB,12 LOTE 10 LOJA 01 0,1160,,,BRASILIA,,,72115-125,-15.821834,-48.061086
RUA,BUENOS AIRES 289 E 291 TERR,2,,,RIO DE JANEIRO,,,20061-003,-22.905459,-43.185371
RUA,DO OUVIDOR 175 A 181 LJE,5,,,RIO DE JANEIRO,,,20040-030,-22.905258,-43.180215
AVENIDA,BENJAMIM PINTO DIAS 1130 LOJA 13,7,,,BELFORD ROXO,,,26130-000,-22.769742,-43.396459
RUA,13 DE MAIO 573,9,,,CAMPINAS,,,13010-071,-22.95480959,-47.19024013
RUA,LAURO MULLER 116 LJ 401 PTE,10,,,RIO DE JANEIRO,,,22290-000,-22.957202,-43.177281
RUA,DA MATRIZ 355 LOJA,11,,,SAO JOAO DE MERITI,,,25520-640,-22.800415,-43.372264
EST,DO PORTELA 70  A 76 SSL,12,,,RIO DE JANEIRO,,,21351-050,-22.872775,-43.33847
RUA,HALFELD 668,14,,,JUIZ DE FORA,,,36010-000,-21.7605853,-43.3505485
RUA,EBANO PEREIRA 67,15,,,CURITIBA,,,80410-240,-25.431464,-49.273856
RUA,BATISTA DE CARVALHO 3 55,16,,,BAURU,,,17010-001,-22.32191198,-49.06724066
PRC,BRASIL 171,17,,,VOLTA REDONDA,,,27260-170,-22.517412,-44.104772
RUA,DO IMPERADOR 428,18,,,PETROPOLIS,,,25620-000,-22.50914,-43.173955
RUA,CONDE DE BONFIM 352,19,,,RIO DE JANEIRO,,,20520-053,-22.92431998,-43.23321779
AV,N S DE COPACABANA 620 A 622 LJS,20,,,RIO DE JANEIRO,,,22050-001,-22.969963,-43.185679
RUA,GENERAL GLICERIO 2888 R SIQ.CAMP,21,,,SAO JOSE DO RIO PRETO,,,15015-400,-20.8201058,-49.39140975
RUA,VISCONDE DE PIRAJA 526 532 532 A,22,,,RIO DE JANEIRO,,,22410-002,-22.98386,-43.211055
RUA,SAO PAULO 504 NA 514/516,23,,,BELO HORIZONTE,,,30170-130,-19.917966,-43.939932
RUA,GENERAL OSORIO 470,24,,,RIBEIRAO PRETO,,,14010-000,-21.17644836,-47.81098036
RUA,DIAS DA CRUZ 255 LOJA 228,25,,,RIO DE JANEIRO,,,20720-010,-22.903401,-43.283471
PRACA,LEONOR KAUPA 10.0/1 D 2P1,27,,,SAO PAULO,,,04151-100,-23.619579,-46.627558
AV,PARANA 196,28,,,LONDRINA,,,86020-360,-23.31096907,-51.16113735
RUA,RUI BARBOSA 38,30,,,VALENCA,,,45400-000,-13.3696552,-39.0631408
RUA,CORONEL AGOSTINHO 112 LOJA A,32,,,RIO DE JANEIRO,,,23050-360,-22.90461642,-43.55954031
RUA,MARECHAL RONDON 1336,36,,,CAMPO GRANDE,,,79002-205,-20.4602333,-54.61913241
RUA,SETE DE SETEMBRO 267,37,,,RECIFE,,,50050-030,-8.060366,-34.883353
CSA,1 LOTES 2/ 3/ 4/ 16 E 17 0,39,,,BRASILIA,,,72015-015,-15.833168,-48.05215
AV,BRASIL 3171,41,,,MARINGA,,,87013-000,-23.421122,-51.932734
RUA,DOS ANDRADAS 1305,42,,,PORTO ALEGRE,,,90020-009,-30.0298472,-51.22863018
AV,ANTONIO CARLOS MAGALHAES 148 LJ 01 QD D,44,,,SALVADOR,,,41828-900,-12.96934,-38.48009
RUA,DAS LARANJEIRAS 49,46,,,RIO DE JANEIRO,,,22240-000,-22.931982,-43.181067
AVE,PRESIDENTE VARGAS 940,48,,,BELEM,,,66010-000,-1.453769346,-48.49326728
AV,DQ DE CAXIAS 1792,50,,,MACEIO,,,57036-540,-9.670403,-35.726253
RUA,PORTAO DA PIEDADE 155 LJ G 2,52,,,SALVADOR,,,40070-000,-12.9835,-38.51477
ESTR,MIRANDELA 290 A 318,57,,,NILOPOLIS,,,26500-000,-22.809355,-43.418337
RUA,HENRIQUE TERRA 1700 LOJA ANC 5,58,,,CABO FRIO,,,28911-320,-22.87576,-42.036386
RUA,JOAO PESSOA 331,59,,,ARACAJU,,,49010-130,-10.909805,-37.049226
AVENIDA,RUI BARBOSA 782 792,60,,,ASSIS,,,19814-000,-22.661522,-50.413987
RUA,GRANDE S/N,61,,,SAO LUIS,,,65000-000,-2.520311191,-44.26915558
RUA,JUNQUEIRA AIRES 8 SHOPPING P,63,,,SALVADOR,,,40070-310,-12.983865,-38.513424
AVENIDA,RIO BRANCO 503,64,,,NATAL,,,59025-001,-5.785414,-35.206566
RUA,MARECHAL DEODORO 1489,65,,,SAO BERNARDO DO CAMPO,,,09710-012,-23.7118541,-46.55048812
RUA,FELIPE SCHMIDT 446,66,,,FLORIANOPOLIS,,,88010-001,-27.593831,-48.556332
AV,DAS AMERICAS 4666 LOJA C1,67,,,RIO DE JANEIRO,,,22631-004,-22.999595,-43.355527
RUA,FRANCISCO DE ANDRADE 264,68,,,LAVRAS,,,37200-000,-21.247817,-45.002862
AV,NILO PECANHA 145,69,,,DUQUE DE CAXIAS,,,25010-140,-22.786825,-43.313106
RODOVIA,"BR 101 0 KM 210, LO",70,,,SAO JOSE,,,88106-101,-27.613638,-48.643538
AV,CANDIDO ABREU 127 SS 001,71,,,CURITIBA,,,80530-000,-25.423062,-49.27
RUA,TEN AVELAR P AZEVED0 140,72,,,OSASCO,,,06016-060,-23.52937671,-46.77885177
RUA,OLIMPIADAS 360 LUC N(o) 222,73,,,SAO PAULO,,,04551-000,-23.59584,-46.68691
RUA,AFONSO PENA 481,74,,,CODO,,,65400-000,-4.45488,-43.883645
PRACA,SAMUEL SABATINI 200 LOJA 1,75,,,SAO BERNARDO DO CAMPO,,,09750-902,-23.69745793,-46.55094951
AV,GEREMARIO DANTAS 404 LOJA 135,77,,,RIO DE JANEIRO,,,22740-010,-22.924731,-43.36079
AVENIDA,RUI BARBOSA 737,79,,,PATROCINIO,,,38740-000,-18.937312,-46.994685
PRACA,GENERAL OSORIO 16 ANT 4 E 4A,81,,,ANGRA DOS REIS,,,23900-600,-23.0068568,-44.3154442
AVENIDA,ALIOMAR BALEEIRO 578 LJS 2 E 3,83,,,SALVADOR,,,41500-660,-12.91544,-38.44436
AVENIDA,INTERLAGOS 2255,85,,,SAO PAULO,,,04661-200,-23.675257,-46.678707
RUA,QUINZE DE NOVEMBRO 8 UNID 317,87,,,NITEROI,,,24020-120,-22.896055,-43.123362
AVENIDA,CARLOS KUNTZ BUSCH 800 EUC N.(o) L6,89,,,LIMEIRA,,,13485-905,-22.56454,-47.40041
AVENIDA,AFONSO PENA 739,91,,,UBERLANDIA,,,38400-130,-18.917345,-48.277144
AV,GUSTAVO PAIVA 2990 LJ ANC D,92,,,MACEIO,,,57036-540,-9.64798,-35.716426
PCA,OSVALDO CRUZ 2698 LJ G1/1E2,94,,,CURITIBA,,,80250-230,-25.459086,-49.26625089
AVN,CASIMIRO DE ABREU 4340 LOTE 21A,96,,,RIO DAS OSTRAS,,,28890-000,-22.520966,-41.93459
AVENIDA,JOHN BOYD DUNLOP 3900 ESP COML,98,,,CAMPINAS,,,13060-803,-22.921876,-47.127255
AVENIDA,AYRTON SENNA 3000 LJ 1091,100,,,RIO DE JANEIRO,,,22775-001,-22.982686,-43.365351
TRAV,PADRE EUTIQUIO 1078 LJ ANC C,102,,,BELEM,,,66023-710,-1.456851,-48.495648
AV,AMERICO BUAIZ 200 LOJA A 14,103,,,VITORIA,,,29050-420,-20.312181,-40.289175
RUA,BATISTA DE OLIVEIRA 381,104,,,JUIZ DE FORA,,,36013-300,-21.759094,-43.347364
RUA,GETULIO VARGAS 909 L22,105,,,PARANAVAI,,,87702-000,-23.076444,-52.454259
AV,SANTOS DUMONT 03131 LOJA 1,106,,,FORTALEZA,,,60000-000,-3.73739043,-38.49431445
AV,BEZERRA DE MENEZES 2450 LOJA 266,107,,,FORTALEZA,,,60325-002,-3.736025,-38.566778
AVENIDA,PRESIDENTE KENNEDY 1961,108,,,DUQUE DE CAXIAS,,,25020-002,-22.79834,-43.30506
RUA,BOCAIUVA 2468 LJ 227A291,109,,,FLORIANOPOLIS,,,88000-000,-27.584365,-48.545371
RUA,DOUTOR JOAO RIBEIRO 304 A I,110,,,SAO PAULO,,,03634-000,-23.52512029,-46.5482101
AVENIDA,OCTAVIO MANGABEIRA 810 ED COSTA,111,,,SALVADOR,,,41830-050,-13.009043,-38.462289
AVENIDA,CORONEL BENTO DE GODOY 0 QD26 LT09,112,,,CALDAS NOVAS,,,75690-000,-17.73833,-48.620914
RUA,PROFESSOR JORNALISTA AMARO FIGUEIREDO FALCAO 520 ANT S JOSE,113,,,CUIABA,,,78055-150,-15.558997,-56.05228
AVENIDA,JOSE FONSECA E SILVA 1930 LJ 01 E 02,114,,,UBERLANDIA,,,38414-073,-18.91731,-48.329451
ROD,CELSO GARCIA CID S/N KM 377,115,,,LONDRINA,,,86000-000,-23.36117925,-51.15065737
VIA,EXPRESSA PAUL FRITZ KUEHNRICH 1600 ANC 03,116,,,BLUMENAU,,,89052-381,-26.891073,-49.070771
AV,DOM HELDER CAMARA 5332 LJ 2301,119,,,RIO DE JANEIRO,,,20771-004,-22.887321,-43.283646
R,BARAO DE SAO FRANCISCO 236 LJ A 1 E 2,121,,,RIO DE JANEIRO,,,20560-030,-22.92025028,-43.25063122
AVENIDA,GOIAS 1698,122,,,GURUPI,,,77410-010,-11.744815,-49.08256
ALAMEDA,SAO BOAVENTURA 896 A,124,,,NITEROI,,,24120-191,-22.88135,-43.08767
RUA,PRESIDENTE OLEGARIO MACIEL 567,126,,,ARAXA,,,38183-186,-19.594112,-46.936402
AVENIDA,ANTARTICA 408,127,,,SAO PAULO,,,05003-020,-23.5276331,-46.67432838
AVENIDA,CONDESSA DE VIMEIROS 307 323,129,,,ITANHAEM,,,11740-000,-24.18344,-46.78937
AV,GOV ROBERTO SILVEIRA 540 1 PISO,131,,,NOVA IGUACU,,,26285-060,-22.74314985,-43.45689406
AVENIDA,VER NARC Y GUIMARAES 1001,132,,,MOGI DAS CRUZES,,,08780-000,-23.51693901,-46.1757162
RUA,MARECHAL DEODORO 300,134,,,CACERES,,,78200-000,-16.066733,-57.687483
PRAIA,DE BOTAFOGO 400 SUBSOLO,135,,,RIO DE JANEIRO,,,22250-040,-22.947447,-43.182526
SCN,S/N QD 05 LT A LOJA 200 N 1 SUBSOLO 0,137,,,BRASILIA,,,71710-500,-15.786689,-47.888709
AV,CRISTIANO MACHADO 4000 LJ B,138,,,BELO HORIZONTE,,,31910-810,-19.875931,-43.928017
AVENIDA,PARANA 3693,140,,,UMUARAMA,,,87501-030,-23.762864,-53.315016
AVENIDA,REPUBLICA DO LIBANO 251,141,,,RECIFE,,,51110-900,-8.085905,-34.890701
AVENIDA,PRESIDENTE VARGAS 341 01,143,,,MACAPA,,,68900-070,0.039272,-51.071162
RUA,PERNAMBUCO 111,144,,,LUIS EDUARDO MAGALHAES,,,47850-000,-12.08966,-45.796331
RUA,DO PASSEIO 42 56 SSL/TER,145,,,RIO DE JANEIRO,,,20021-290,-22.912495,-43.176668
SAISO,A 1 N 6580 LOJAS 214 E 215 0,146,,,BRASILIA,,,71000-000,-15.781749,-47.914925
AVENIDA,JOAO PALACIOS 300 SUC 110A,147,,,SERRA,,,29160-925,-20.29472,-40.293
AV,WASHINGTON SOARES 85 LJ 120/121,148,,,FORTALEZA,,,60811-340,-3.756968,-38.490625
RUA,CEL XAVIER TOLEDO 23 LOJAS,149,,,SAO PAULO,,,01048-100,-23.54602019,-46.63882434
AV,PRESIDENTE CARLOS LUZ 3001 PISO 2 NL5,152,,,BELO HORIZONTE,,,31250-010,-19.88982983,-43.96700468
RUA,SARMENTO NOBERTO MARQUES 0,153,,,PARNAMIRIM,,,59140-230,-5.917536,-35.262708
AV,PRAIA DE BELAS 1181 ANC 0002,154,,,PORTO ALEGRE,,,90110-001,-30.049398,-51.227806
AVENIDA,ANA COSTA 542,155,,,SANTOS,,,11060-002,-23.9681112,-46.33300463
R,TUPIS 317 LJ 01/03,156,,,BELO HORIZONTE,,,30190-060,-19.921501,-43.939958
AV,MAESTRO PAULO SILVA 400 LJ 129/130,157,,,RIO DE JANEIRO,,,21920-440,-22.80142444,-43.20217982
AV,FLAVIO RIBEIRO COUTINHO 805 LJ T- 306,159,,,JOAO PESSOA,,,58037-000,-7.097653,-34.841158
AVENIDA,DOUTOR FRANCISCO MESQUITA 1000 LJ ANC Q,162,,,SAO PAULO,,,03153-001,-23.62838107,-46.63424344
AV,ARICANDUVA 5555 LJ ANC F,163,,,SAO PAULO,,,03527-000,-23.56517136,-46.50743261
AVENIDA,ANTONIO FREDERICO OZANAN 6000 LJ 2600,165,,,JUNDIAI,,,13215-900,-23.19866062,-46.86636384
R,ERMELINO DE LEAO 703 ANCORA 1,166,,,PONTA GROSSA,,,84035-000,-25.095494,-50.154202
AV,PEREIRA BARRETO 42  LOJA 1,168,,,SANTO ANDRE,,,09190-210,-23.668448,-46.533061
AV,SETE DE SETEMBRO 2775 LJ 2076,169,,,CURITIBA,,,80230-010,-25.437324,-49.265671
AV,PRESIDENTE KENNEDY 1500 LJ ANC AM,173,,,RIBEIRAO PRETO,,,14096-350,-21.2014644,-47.76752438
AVENIDA,CENTENARIO 2992 PISO L3,174,,,SALVADOR,,,40155-150,-12.99031585,-38.51124306
AV,AFONSO PENA 4909 SL CM 1501,176,,,CAMPO GRANDE,,,79031-900,-20.45957,-54.59155
AV,LIMEIRA 722 SUC TER,177,,,PIRACICABA,,,13414-900,-22.70303799,-47.64937763
RODOVIA,MARECHAL RONDON KM 105 SL COM 104,179,,,ITU,,,13312-000,-23.26307774,-47.28513915
AV,ASSIS BRASIL 3522 LOJA 200,181,,,PORTO ALEGRE,,,91010-003,-30.01054798,-51.15136864
RUA,SAMUEL HEUSI 234 LJ ANC 001,182,,,ITAJAI,,,88301-320,-26.904123,-48.659856
AV,SAO GONCALO 100 LOJA 116,184,,,SAO GONCALO,,,24466-240,-22.812511,-43.072571
RUA,210 QS 01 LT 40 LJ 2006/2007/2008/2009 E 2010 AGUAS CLAR 0,185,,,BRASILIA,,,71950-904,-15.84174,-48.044812
AV,NACOES UNIDAS 2001 LJ 1004 A,186,,,NOVO HAMBURGO,,,93320-021,-29.732278,-51.126319
AV,DOUTOR OLIVIO LIRA 353 SUC 07 1 P,187,,,VILA VELHA,,,29101-950,-20.33992479,-40.2874959
ESTRADA,MUNICIPAL SAO JOAO DE MERITI 111 LJ 323 P 1,188,,,SAO JOAO DE MERITI,,,25586-140,-22.797112,-43.352351
AV,TOLEDO 432 LOJA 121,189,,,CASCAVEL,,,85810-230,-24.950515,-53.477397
AVENIDA,RIO VERDE S/N QD102 LJ25,190,,,APARECIDA DE GOIANIA,,,74916-260,-16.741921,-49.27817
AVENIDA,JOAQUIM POMPEU DE TOLEDO 601 LJS 52/53,191,,,ARACATUBA,,,16020-050,-21.22226428,-50.4355521
AVENIDA,DO CONTORNO 6061 LJ 115/116,192,,,BELO HORIZONTE,,,30110-110,-19.93998,-43.933978
AVENIDA,RIO NEGRO 1100 LOJA C 1,193,,,FRANCA,,,14406-005,-20.54156675,-47.41722517
AV,SANTA BARBARA 777 LOJA A,194,,,SANTA BARBARA D'OESTE,,,13456-080,-22.75433369,-47.39048695
AVENIDA,GUILHERME CAMPOS 500 LJ 179/180,195,,,CAMPINAS,,,13087-901,-22.85540589,-47.05685728
AVENIDA,AYRTON SENNA DA SILVA 1511 LJ 40 PISO,196,,,PRAIA GRANDE,,,11726-000,-23.996377,-46.409297
RUA,SETE DE SETEMBRO 1213 SL 17,197,,,BLUMENAU,,,89010-203,-26.919745,-49.06846
AVENIDA,CARAPINIMA 2200 ILHAS 001,199,,,FORTALEZA,,,60015-290,-3.739442,-38.540211
AVENIDA,AZIZ MARON 0 LJ 21 A 24,200,,,ITABUNA,,,45605-415,-14.800841,-39.277086
RUA,JOAO CAMILO DE CAMARGO 5 LOJA 233,202,,,HORTOLANDIA,,,13184-290,-22.864972,-47.21659
AV,NOSSA SENHORA DE LOURDES 63 2PISO/LJ8B,204,,,CURITIBA,,,81530-020,-25.451194,-49.229182
AV,TUIUTI 710 LJ AN44/45,205,,,MARINGA,,,87040-360,-23.422709,-51.90855
RUA,XV DE NOVEMBRO 1960,207,,,SAO JOSE DOS PINHAIS,,,83005-000,-25.538368,-49.199662
AV,RUBENS MENDONCA 3300 LJ ANC N1,208,,,CUIABA,,,78050-250,-15.58868767,-56.08298936
RUA,SIQUEIRA CAMPOS 1545 LJ 98 / 99,210,,,PRESIDENTE PRUDENTE,,,19013-030,-22.13304475,-51.39199567
AVENIDA,RECANTO DAS EMAS QUADRA 103 LOTES 3 E 4 0 LOJA 1,211,,,BRASILIA,,,72610-321,-15.904114,-48.068276
AV,ALBERTO BRAUNE 124 LJ SL11/13,213,,,NOVA FRIBURGO,,,28613-000,-22.285573,-42.531627
RUA,DONA MARIA ALVES 345,214,,,UBATUBA,,,11680-000,-23.43358,-45.079491
RUA,MAESTRO CARLOS FRANK 1351,216,,,CURITIBA,,,81750-323,-25.518453,-49.231264
AVENIDA,ANHANGUERA 0 QD58 LT129,217,,,GOIANIA,,,74040-010,-16.675169,-49.280209
AVENIDA,LUIS EDUARDO 66/86 LJ 2 LJ 1,219,,,SIMOES FILHO,,,43700-000,-12.785551,-38.394729
SHC/AOS,EQ 2/8 LOTE 05 LOJA SS-01 0,222,,,BRASILIA,,,70660-090,-15.803868,-47.941145
RUA,MORAIS E CASTRO 300 LOJA 220,223,,,JUIZ DE FORA,,,36025-160,-21.776311,-43.347919
RUA,BARAO DE JACAREI 364 LOJA 46,224,,,JACAREI,,,12308-001,-23.303912,-45.963291
AVENIDA,BERNARDO VIEIRA 3775 LJ ANC 108,226,,,NATAL,,,59015-450,-5.812079642,-35.20670696
RUA,FONSECA 240 LOJA 127E,227,,,RIO DE JANEIRO,,,21820-005,-22.877773,-43.465571
AV,GETULIO VARGAS 268 LJ 228,228,,,JARAGUA DO SUL,,,89251-000,-26.479992,-49.085574
AVENIDA,ANDROMEDA 227 SUC 112,229,,,SAO JOSE DOS CAMPOS,,,12230-000,-23.25018166,-45.88579139
AV,SATURNINO BRAGA 369 LOJA 117,230,,,RESENDE,,,27511-300,-22.46671877,-44.45159086
AV,GIOVANNI GRONCHI 5819 122B/C 123,231,,,SAO PAULO,,,05724-003,-23.631024,-46.735284
RUA,44 399 LJ ANC 4,232,,,GOIANIA,,,74063-010,-16.661961,-49.256988
AV,GUILHERME SHELL 6750 LJ ANC 06,233,,,CANOAS,,,92310-001,-29.90909384,-51.18172017
RUA,SAO JOSE 933 LJ 315/330,234,,,RIBEIRAO PRETO,,,14010-160,-21.18354334,-47.80966258
RUA,ITACOLOMI 292 LJ 237,235,,,CURITIBA,,,81070-150,-25.479346,-49.294518
