Logradouro,Endereco,Numero,Complemento,Bairro,Cidade,Estado,Pais,Cep,Latitude,Longitude
AV,REPUBLICA DO LIBANO 2576 QDE8 LT23,832,,,GOIANIA,,,74115-030,-16.67095645,-49.27040346
RUA,AMERICO BRASILIENSE  279,833,,,SAO CAETANO DO SUL,,,09520-030,-23.616284,-46.565618
AV,VEREADOR JOAO DE LUCA 483,835,,,SAO PAULO,,,04381-000,-23.647835,-46.670483
AV,NOVA CANTAREIRA  3265,836,,,SAO PAULO,,,02341-000,-23.472281,-46.616989
AVENIDA,BRASIL 1076,838,,,BELO HORIZONTE,,,30140-001,-19.949199,-43.919605
R,VISCONDE DE PIRAJA 174 LJ A E B,839,,,RIO DE JANEIRO,,,22410-003,-22.984477,-43.200129
AV,NOSSA SENHORA DE COPACABANA  619 LJ A PARTE,842,,,RIO DE JANEIRO,,,22020-001,-22.970198,-43.185852
R,PROFESSOR MORAES 226,844,,,BELO HORIZONTE,,,30150-370,-19.935289,-43.930686
AVENIDA,T 4 466 QD124 LT7,845,,,GOIANIA,,,74230-030,-16.710834,-49.267631
AV,CONSELHEIRO CARRAO  2306,847,,,SAO PAULO,,,03402-002,-23.547875,-46.538941
AV, WASHINGTON LUIS 484,848,,,SANTOS,,,11055-000,-23.965686,-46.328813
AV,MARCONDES DE BRITO 1470,853,,,SAO PAULO,,,03509-000,-23.53224804,-46.52975657
SHC,SUL RESIDENCIAL QD 506 BLOCO A LOJA 15 0,854,,,BRASILIA,,,70350-515,-15.810392,-47.903268
RUA,BRAS LEME 2175 LJ 01,856,,,SAO PAULO,,,02022-010,-23.50339,-46.638975
RUA,MAXWELL 477 PARTE,857,,,RIO DE JANEIRO,,,20541-100,-22.922896,-43.248947
RUA,ABILIO SOARES 870,863,,,SAO PAULO,,,04005-003,-23.576411,-46.649555
AV,VEREADOR JOSE DINIZ 3670 LJ 01,864,,,SAO PAULO,,,04604-007,-23.616015,-46.673854
RUA,VOLUNTARIOS DA PATRIA 450 LOJA B,865,,,RIO DE JANEIRO,,,22270-000,-22.955948,-43.197318
R,GENERAL URQUIZA 71 LOJA A,866,,,RIO DE JANEIRO,,,22431-040,-22.984802,-43.22413
RUA,BARTOLOMEU DE GUSMAO 131,867,,,SANTOS,,,11030-500,-23.983431,-46.309506
RUA,PIO XI 801,868,,,SAO PAULO,,,05060-000,-23.53087,-46.711998
SHC/CLSW,104 BLOCO A LOJA B 104 PARTE 0,869,,,BRASILIA,,,70670-531,-15.804381,-47.93181
R,CONDE DE BONFIM 152 LOJA A,870,,,RIO DE JANEIRO,,,20520-053,-22.9247,-43.226621
RUA,ANDRE CAVALCANTI 214,871,,,BELO HORIZONTE,,,30430-110,-19.932752,-43.956319
AV,FRANCISCO PRESTES MAIA 1029,872,,,SAO BERNARDO DO CAMPO,,,09770-000,-23.71125299,-46.54414247
AV,DOM PEDRO II 933,874,,,SANTO ANDRE,,,09110-000,-23.64950231,-46.53562308
SHIS,CL QI 17 BLOCO H LOJAS 113 A 116 TERREO 0,875,,,BRASILIA,,,71645-000,-15.860638,-47.871939
AV,INDIANAPOLIS 440,877,,,SAO PAULO,,,04062-000,-23.60277,-46.655515
EST,FRANCISCO DA CRUZ NUNES 6501 LOJA 101,879,,,NITEROI,,,24350-310,-22.941501,-43.057275
AV,DAS AMERICAS 14755,880,,,RIO DE JANEIRO,,,22640-100,-23.011977,-43.45696
R,PADRE AGOSTNHO  1568 TERREO,881,,,CURITIBA,,,80710-000,-25.429579,-49.294615
AV,NOVE DE JULHO  550,883,,,SAO JOSE DOS CAMPOS,,,12243-001,-23.19687226,-45.89427644
AV,ANDROMEDA 1637,885,,,SAO JOSE DOS CAMPOS,,,12230-000,-23.23774191,-45.88501797
R,MARQUES DE ABRANTES 172 BL FTE LJA,886,,,RIO DE JANEIRO,,,22230-061,-22.939019,-43.178291
AV,PRESIDENTE ANTONIO CARLOS 8311,888,,,BELO HORIZONTE,,,31270-010,-19.8542116,-43.9615196
EST,DOS BANDEIRANTES 106,889,,,RIO DE JANEIRO,,,22730-001,-22.924134,-43.37385
AV,DOM LUIS 1400,891,,,FORTALEZA,,,60160-230,-3.736001,-38.489161
R,FRANCISCO REAL 2050,892,,,RIO DE JANEIRO,,,21810-042,-22.879627,-43.465564
AV,PARADA PINTO 1940 LOJA 2,895,,,SAO PAULO,,,02611-001,-23.471051,-46.651732
R,URUGUAI  329,897,,,RIO DE JANEIRO,,,20510-060,-22.929874,-43.242772
AV,DOM HELDER CAMARA 5332 LOJA 3905,900,,,RIO DE JANEIRO,,,20771-004,-22.887365,-43.283638
RUA,SERGIPE 160,901,,,SAO PAULO,,,01243-000,-23.548871,-46.655475
RUA,HARMONIA 373,902,,,SAO PAULO,,,05435-000,-23.554704,-46.688338
RUA,ITAPURA  721 742,904,,,SAO PAULO,,,03310-000,-23.545042,-46.566412
AV,SANTO AMARO 6440 LOJA 01,905,,,SAO PAULO,,,04702-002,-23.6358275,-46.69542042
AV,ANTONIO SALES 3031,907,,,FORTALEZA,,,60135-102,-3.747185,-38.496779
RUA,JOSE DE SOUZA CAMPOS 1066,908,,,CAMPINAS,,,13025-320,-22.896437,-47.04694
AV,ANDRADE NEVES 2457,909,,,CAMPINAS,,,13070-000,-22.888578,-47.07773
RUA,CLODOMIRO AMAZONAS 1299,911,,,SAO PAULO,,,04537-012,-23.59519,-46.67663
RUA,USHIMA KIRA 49,912,,,COTIA,,,06709-048,-23.592173,-46.835226
R,CORONEL VEIGA  711,913,,,PETROPOLIS,,,25655-156,-22.52404381,-43.19167509
AV,LUIZ DUMONT VILLARES 859 : E No 901,915,,,SAO PAULO,,,02085-100,-23.49739195,-46.61169288
AV,ALBINO JOSE BARBOSA DE OLIVEIRA 1282,916,,,CAMPINAS,,,13084-008,-22.82882291,-47.0791519
AV,EUSEBIO MATOSO 891 LOJA 03,918,,,SAO PAULO,,,05423-901,-23.57095424,-46.69118081
RUA,JOSE RAMON URTIZA S/N,920,,,SAO PAULO,,,05717-270,-23.63378791,-46.73235677
R,PROF JOSE HORACIO MEIRELLES TEIXEIRA 1080,921,,,SAO PAULO,,,05630-130,-23.61309954,-46.74163738
AV,OLEGARIO MACIEL 256 PARTE,924,,,RIO DE JANEIRO,,,22621-200,-23.013207,-43.305124
AV,DA ACLIMACAO 125,926,,,SAO PAULO,,,01531-001,-23.567844,-46.633422
